 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11768814;"12 Festival de Cine social de las Californias";"";"1";"1";"L,M,X,J,V,S,D";"";"2022-09-30 00:00:00.0";"2022-10-02 23:59:00.0";"21:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=154f346a6e033810VgnVCM1000001d4a900aRCRD";"Cine de verano en Retiro. Junio";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41c750fb77cfe710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=14ec3abc4be2e210VgnVCM1000000b205a0aRCRD";"Parque Martin Luther King";"2";"CALLE";"CERRO NEGRO";"1";"RETIRO";"ADELFAS";"28007";"443131";"4472170";"40.398195733324194";"-3.6701340560704026";"/contenido/actividades/CineActividadesAudiovisuales";"";
11768163;"15ª Edición Mi primer Festival de Cine";"";"0";"1";"S,D";"";"2022-11-05 00:00:00.0";"2022-11-20 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4fd9afbfa0423810VgnVCM1000001d4a900aRCRD";"15ª Edición Mi primer Festival de Cine";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3e9afbfa0423810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro de Cultura Contemporánea Conde Duque";"1";"CALLE";"CONDE DUQUE";"9";"CENTRO";"UNIVERSIDAD";"28015";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11739632;"2º Encuentro Iberoamericano de Arte y Cultura";"";"1";"1";"L,M,X,J,V,S,D";"";"2022-10-07 00:00:00.0";"2022-10-29 23:59:00.0";"";"La exposición refleja una selección de obras de nueve artistas plásticos contemporáneos de Ecuador, Perú, Portugal y España. Los autores participantes, serán, Linda de Sousa, Patricia Larrea Almeida, Maria Gloria Andrade, Pablo Tapia Sánchez, Adolfo Asmat Chirinos-Zabala, Maria del Socorro Mora, Klaudia Neuhardt, Ignacio Puras y Antonio R. Mirelis.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=233fbd38fb342810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD";"Auditorio y sala de exposiciones Paco de Lucía (Latina)";"1";"AVENIDA";"LAS AGUILAS";"2";"LATINA";"LAS AGUILAS";"28044";"435330";"4470783";"40.38513183038149";"-3.761911556533903";"/contenido/actividades/Exposiciones";"";
11768199;"36º Certamen Coreográfico de Madrid";"";"0";"1";"L,M,X,J,V,S,D";"";"2022-12-07 00:00:00.0";"2022-12-11 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a0bafbfa0423810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro de Cultura Contemporánea Conde Duque";"1";"CALLE";"CONDE DUQUE";"9";"CENTRO";"UNIVERSIDAD";"28015";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"/contenido/actividades/DanzaBaile";"";
11773394;"4ª jornada Festival Octubre negro en Madrid";"";"1";"0";"";"";"2022-10-04 00:00:00.0";"2022-10-04 23:59:00.0";"";"Programa la cuarta jornada - martes 4 de octubre.  En la biblioteca Iván de Vargas, volvemos a contar con un elenco de lujo: médicos forenses, inspectores de policía, ex agentes de inteligencia, psiquiatras y psicólogos, historiadores y primeras firmas literarias.al que se irán sumando otros nombres ilustres de la cultura de la talla de Luis Alberto de Cuenca, Fernando Sánchez Dragó, Luis Antonio de Villena, el doctor José Cabrera, José Luis Muñoz, Carmen Baena Salamanca y un larguísimo etc.  El acceso es libre hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2cb13d647d043810VgnVCM1000001d4a900aRCRD";"Festival Octubre negro en Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d8d23845db33810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"1,6";"CALLE";"SAN JUSTO";"5";"CENTRO";"PALACIO";"28005";"439775";"4473962";"40.41410290844665";"-3.7098591212735883";"/contenido/actividades/ConferenciasColoquios";"";
11779923;"5 Segundos y 120 Kilos";"";"1";"0";"";"";"2022-10-22 00:00:00.0";"2022-10-22 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7509ca22fd953810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Antonio Machado (San Blas - Canillejas)";"1";"CALLE";"SAN ROMÁN DEL VALLE";"8";"SAN BLAS-CANILLEJAS";"ARCOS";"28037";"447255";"4474591";"40.42027705095574";"-3.621741078700336";"/contenido/actividades/TeatroPerformance";"";
11773395;"5ª jornada Festival Octubre negro en Madrid";"";"1";"0";"";"";"2022-10-05 00:00:00.0";"2022-10-05 23:59:00.0";"";"Programa la quinta jornada - miércoles 5 de octubre.  En la biblioteca Iván de Vargas, volvemos a contar con un elenco de lujo: médicos forenses, inspectores de policía, ex agentes de inteligencia, psiquiatras y psicólogos, historiadores y primeras firmas literarias.al que se irán sumando otros nombres ilustres de la cultura de la talla de Luis Alberto de Cuenca, Fernando Sánchez Dragó, Luis Antonio de Villena, el doctor José Cabrera, José Luis Muñoz, Carmen Baena Salamanca y un larguísimo etc.  El acceso es libre hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fb13d647d043810VgnVCM1000001d4a900aRCRD";"Festival Octubre negro en Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d8d23845db33810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"1,6";"CALLE";"SAN JUSTO";"5";"CENTRO";"PALACIO";"28005";"439775";"4473962";"40.41410290844665";"-3.7098591212735883";"/contenido/actividades/ConferenciasColoquios";"";
11731709;"6º Concurso de relatos Cuarto y Mitad: 'Estaba en un libro'";"";"1";"1";"L,M,X,J,V,S,D";"";"2022-08-22 00:00:00.0";"2022-10-09 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d98a590d22f1810VgnVCM1000001d4a900aRCRD";"6ª Edición del concurso de relatos Cuarto y Mitad: 'Estaba en un libro'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9e9af7f171f1810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"1,6";"CALLE";"BARCELO";"4";"CENTRO";"JUSTICIA";"28004";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"/contenido/actividades/ConcursosCertamenes";"";
11783138;"918 Gau / 918 Noches";"";"0";"1";"L,M,X,J,V,S,D";"3/10/2022;";"2022-10-01 00:00:00.0";"2022-10-05 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42e981c89d463810VgnVCM1000001d4a900aRCRD";"918 Gau / 918 Noches";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=47e981c89d463810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471394";"40.391053041229135";"-3.6958079719260075";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11662693;"A ritmo de danza";"";"1";"0";"";"";"2022-10-07 00:00:00.0";"2022-10-07 23:59:00.0";"19:00";"Concierto a cargo del Grupo Allegreto  Esta producción de la compañía Las Artes relata a través del lenguaje de la danza neoclásica la vida y los sentimientos de la grandísima diseñadora Coco Chanel, desde su humilde origen hasta llegar a lo más alto del mundo de la moda, resaltando su papel pionero en el camino de la emancipación de la mujer y la soledad que la acompañó siempre en su vida personal";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d6d9b796b540810VgnVCM1000001d4a900aRCRD";"Actividades. Centro Cultural Alfredo Kraus (Fuencarral - El Pardo). Mayo 2022";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0a4f2d6e0901610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Alfredo Kraus (Fuencarral - El Pardo)";"1";"GLORIETA";"PRADERA DE VAQUERIZAS";"9";"FUENCARRAL-EL PARDO";"MIRASIERRA";"28035";"438848";"4482487";"40.49082275610172";"-3.7216054330053647";"/contenido/actividades/Musica";"";
